freq[Hz];re:Trc2_S22;im:Trc2_S22;re:Trc3_Z<-S21[Ohm];im:Trc3_Z<-S21[Ohm];
1,000000000000000E+005;1,672617007027503E-001;-3,407803637100096E-002;4,035599562026238E+001;-1,652720154660823E+001;
1,000206204434088E+005;1,674499298727668E-001;-3,420770283540314E-002;4,018068158979514E+001;-1,664399231522743E+001;
1,000412451388446E+005;1,674780717011298E-001;-3,380286149079104E-002;4,020238018106500E+001;-1,653256065397735E+001;
1,000618740871839E+005;1,673349297357497E-001;-3,361551978336296E-002;4,028755560150194E+001;-1,671699721055080E+001;
1,000825072893039E+005;1,669983611795365E-001;-3,415250146411930E-002;4,019435359081351E+001;-1,678796842960801E+001;
1,001031447460816E+005;1,676214180234140E-001;-3,364981885861582E-002;4,026453632495682E+001;-1,655996630564200E+001;
1,001237864583945E+005;1,676394931772260E-001;-3,489806891671114E-002;4,031400025726904E+001;-1,668116984400036E+001;
1,001444324271199E+005;1,666355085269222E-001;-3,415954015924452E-002;4,018917646097128E+001;-1,647882222701772E+001;
1,001650826531357E+005;1,670702277859929E-001;-3,410015700172008E-002;4,026701568224462E+001;-1,665048650198988E+001;
1,001857371373196E+005;1,670912377284716E-001;-3,354391554842163E-002;4,028663856193398E+001;-1,668524692199523E+001;
1,002063958805497E+005;1,671811174272125E-001;-3,430631159213783E-002;4,033533932976971E+001;-1,674918513921192E+001;
1,002270588837043E+005;1,676462954413410E-001;-3,486412576526667E-002;4,018490660169630E+001;-1,656925825596321E+001;
1,002477261476618E+005;1,668335130578590E-001;-3,477786767151684E-002;3,998856306212474E+001;-1,656117912310435E+001;
1,002683976733007E+005;1,670380454526461E-001;-3,345047790113171E-002;4,024916449235150E+001;-1,640828842951601E+001;
1,002890734614999E+005;1,671887984767518E-001;-3,436938283479794E-002;4,034788282807307E+001;-1,655851337272201E+001;
1,003097535131383E+005;1,669066930450577E-001;-3,346556050794260E-002;4,017338029019911E+001;-1,669356980229836E+001;
1,003304378290950E+005;1,671986920255111E-001;-3,459695132741111E-002;4,021411346032176E+001;-1,662737584086155E+001;
1,003511264102494E+005;1,666004656825104E-001;-3,419955964764328E-002;4,019752844391903E+001;-1,675546724816856E+001;
1,003718192574810E+005;1,673610223590184E-001;-3,410088365081538E-002;4,011007831365888E+001;-1,679287292023550E+001;
1,003925163716694E+005;1,680757008209820E-001;-3,368844001586847E-002;4,024576901907193E+001;-1,661561005549275E+001;
1,004132177536945E+005;1,675907140607224E-001;-3,326276714230730E-002;4,030914659096828E+001;-1,670499374347745E+001;
1,004339234044364E+005;1,671555888243625E-001;-3,457546041662068E-002;4,032001802353830E+001;-1,646231561664727E+001;
1,004546333247753E+005;1,677044716978927E-001;-3,426403811690998E-002;4,018822559642177E+001;-1,666333993783541E+001;
1,004753475155916E+005;1,668776301906988E-001;-3,386616338704069E-002;4,020895282042352E+001;-1,669563297742010E+001;
1,004960659777659E+005;1,675281531221608E-001;-3,481094450184411E-002;4,039910322084296E+001;-1,654916342349443E+001;
1,005167887121790E+005;1,674842706567941E-001;-3,457071734642907E-002;4,028894850440145E+001;-1,657830816149357E+001;
1,005375157197118E+005;1,666133866252847E-001;-3,435563633661969E-002;4,016276584802995E+001;-1,662531595852525E+001;
1,005582470012454E+005;1,673982767078657E-001;-3,445040483368987E-002;4,011968311684890E+001;-1,645934549125250E+001;
1,005789825576613E+005;1,677446121768969E-001;-3,435047095107825E-002;4,027082014928439E+001;-1,631471907435223E+001;
1,005997223898407E+005;1,668926405692982E-001;-3,387072429448734E-002;4,040841350902824E+001;-1,648713250055434E+001;
